,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
0,39,Govt,77516,College,13,Single,Clerical/Sales,Not-in-family,White,Male,2174,0,40,US,<50K
1,50,Self_emp,83311,College,13,Married,White-collar,Husband,White,Male,0,0,13,US,<50K
2,38,Private,215646,High-school,9,Separated,Blue-collar,Not-in-family,White,Male,0,0,40,US,<50K
3,53,Private,234721,High-school,7,Married,Blue-collar,Husband,Black,Male,0,0,40,US,<50K
4,28,Private,338409,College,13,Married,White-collar,Wife,Black,Female,0,0,40,Non-US,<50K
5,37,Private,284582,College,14,Married,White-collar,Wife,White,Female,0,0,40,US,<50K
6,49,Private,160187,High-school,5,Married,Service/Manual,Not-in-family,Black,Female,0,0,16,Non-US,<50K
7,52,Self_emp,209642,High-school,9,Married,White-collar,Husband,White,Male,0,0,45,US,>50K
8,31,Private,45781,College,14,Single,White-collar,Not-in-family,White,Female,14084,0,50,US,>50K
9,42,Private,159449,College,13,Married,White-collar,Husband,White,Male,5178,0,40,US,>50K
10,37,Private,280464,Some-college,10,Married,White-collar,Husband,Black,Male,0,0,80,US,>50K
11,30,Govt,141297,College,13,Married,White-collar,Husband,Asian-Pac-Islander,Male,0,0,40,Non-US,>50K
12,23,Private,122272,College,13,Single,Clerical/Sales,Own-child,White,Female,0,0,30,US,<50K
13,32,Private,205019,Some-college,12,Single,Clerical/Sales,Not-in-family,Black,Male,0,0,50,US,<50K
14,40,Private,121772,Some-college,11,Married,Blue-collar,Husband,Asian-Pac-Islander,Male,0,0,40,Non-US,>50K
15,34,Private,245487,Middle-school,4,Married,Blue-collar,Husband,Amer-Indian-Eskimo,Male,0,0,45,Non-US,<50K
16,25,Self_emp,176756,High-school,9,Single,Service/Manual,Own-child,White,Male,0,0,35,US,<50K
17,32,Private,186824,High-school,9,Single,Blue-collar,Unmarried,White,Male,0,0,40,US,<50K
18,38,Private,28887,High-school,7,Married,Clerical/Sales,Husband,White,Male,0,0,50,US,<50K
19,43,Self_emp,292175,College,14,Separated,White-collar,Unmarried,White,Female,0,0,45,US,>50K
20,40,Private,193524,College,16,Married,White-collar,Husband,White,Male,0,0,60,US,>50K
21,54,Private,302146,High-school,9,Separated,Service/Manual,Unmarried,Black,Female,0,0,20,US,<50K
22,35,Govt,76845,High-school,5,Married,Service/Manual,Husband,Black,Male,0,0,40,US,<50K
23,43,Private,117037,High-school,7,Married,Blue-collar,Husband,White,Male,0,2042,40,US,<50K
24,59,Private,109015,High-school,9,Separated,White-collar,Unmarried,White,Female,0,0,40,US,<50K
25,56,Govt,216851,College,13,Married,White-collar,Husband,White,Male,0,0,40,US,>50K
26,19,Private,168294,High-school,9,Single,Blue-collar,Own-child,White,Male,0,0,40,US,<50K
27,54,null,180211,Some-college,10,Married,null,Husband,Asian-Pac-Islander,Male,0,0,60,Non-US,>50K
28,39,Private,367260,High-school,9,Separated,White-collar,Not-in-family,White,Male,0,0,80,US,<50K
29,49,Private,193366,High-school,9,Married,Blue-collar,Husband,White,Male,0,0,40,US,<50K
30,23,Govt,190709,Some-college,12,Single,Blue-collar,Not-in-family,White,Male,0,0,52,US,<50K
31,20,Private,266015,Some-college,10,Single,Clerical/Sales,Own-child,Black,Male,0,0,44,US,<50K
32,45,Private,386940,College,13,Separated,White-collar,Own-child,White,Male,0,1408,40,US,<50K
33,30,Govt,59951,Some-college,10,Married,Clerical/Sales,Own-child,White,Male,0,0,40,US,<50K
34,22,Govt,311512,Some-college,10,Married,Service/Manual,Husband,Black,Male,0,0,15,US,<50K
35,48,Private,242406,High-school,7,Single,Blue-collar,Unmarried,White,Male,0,0,40,Non-US,<50K
36,21,Private,197200,Some-college,10,Single,Blue-collar,Own-child,White,Male,0,0,40,US,<50K
37,19,Private,544091,High-school,9,Married,Clerical/Sales,Wife,White,Female,0,0,25,US,<50K
38,31,Private,84154,Some-college,10,Married,Clerical/Sales,Husband,White,Male,0,0,38,Non-US,>50K
39,48,Self_emp,265477,Some-college,12,Married,White-collar,Husband,White,Male,0,0,40,US,<50K
40,31,Private,507875,High-school,5,Married,Blue-collar,Husband,White,Male,0,0,43,US,<50K
41,53,Self_emp,88506,College,13,Married,White-collar,Husband,White,Male,0,0,40,US,<50K
42,24,Private,172987,College,13,Married,White-collar,Husband,White,Male,0,0,50,US,<50K
43,49,Private,94638,High-school,9,Separated,Clerical/Sales,Unmarried,White,Female,0,0,40,US,<50K
44,25,Private,289980,High-school,9,Single,Blue-collar,Not-in-family,White,Male,0,0,35,US,<50K
45,57,Govt,337895,College,13,Married,White-collar,Husband,Black,Male,0,0,40,US,>50K
46,53,Private,144361,High-school,9,Married,Blue-collar,Husband,White,Male,0,0,38,US,<50K
47,44,Private,128354,College,14,Separated,White-collar,Unmarried,White,Female,0,0,40,US,<50K
48,41,Govt,101603,Some-college,11,Married,Blue-collar,Husband,White,Male,0,0,40,US,<50K
49,29,Private,271466,Some-college,11,Single,White-collar,Not-in-family,White,Male,0,0,43,US,<50K
50,25,Private,32275,Some-college,10,Married,White-collar,Wife,Other,Female,0,0,40,US,<50K
51,18,Private,226956,High-school,9,Single,Service/Manual,Own-child,White,Female,0,0,30,Non-US,<50K
52,47,Private,51835,College,15,Married,White-collar,Wife,White,Female,0,1902,60,Non-US,>50K
53,50,Govt,251585,College,13,Separated,White-collar,Not-in-family,White,Male,0,0,55,US,>50K
54,47,Self_emp,109832,High-school,9,Separated,White-collar,Not-in-family,White,Male,0,0,60,US,<50K
55,43,Private,237993,Some-college,10,Married,White-collar,Husband,White,Male,0,0,40,US,>50K
56,46,Private,216666,Middle-school,3,Married,Blue-collar,Husband,White,Male,0,0,40,Non-US,<50K
57,35,Private,56352,Some-college,11,Married,Service/Manual,Husband,White,Male,0,0,40,Non-US,<50K
58,41,Private,147372,High-school,9,Married,Clerical/Sales,Husband,White,Male,0,0,48,US,<50K
59,30,Private,188146,High-school,9,Married,Blue-collar,Husband,White,Male,5013,0,40,US,<50K
60,30,Private,59496,College,13,Married,Clerical/Sales,Husband,White,Male,2407,0,40,US,<50K
61,32,null,293936,Middle-school,4,Married,null,Not-in-family,White,Male,0,0,40,Non-US,<50K
62,48,Private,149640,High-school,9,Married,Blue-collar,Husband,White,Male,0,0,40,US,<50K
63,42,Private,116632,College,16,Married,White-collar,Husband,White,Male,0,0,45,US,>50K
64,29,Private,105598,Some-college,10,Separated,White-collar,Not-in-family,White,Male,0,0,58,US,<50K
65,36,Private,155537,High-school,9,Married,Blue-collar,Husband,White,Male,0,0,40,US,<50K
66,28,Private,183175,Some-college,10,Separated,Clerical/Sales,Not-in-family,White,Female,0,0,40,US,<50K
67,53,Private,169846,High-school,9,Married,Clerical/Sales,Wife,White,Female,0,0,40,US,>50K
68,49,Self_emp,191681,Some-college,10,Married,White-collar,Husband,White,Male,0,0,50,US,>50K
69,25,null,200681,Some-college,10,Single,null,Own-child,White,Male,0,0,40,US,<50K
70,19,Private,101509,Some-college,10,Single,White-collar,Own-child,White,Male,0,0,32,US,<50K
71,31,Private,309974,College,13,Separated,Clerical/Sales,Own-child,Black,Female,0,0,40,US,<50K
72,29,Self_emp,162298,College,13,Married,Clerical/Sales,Husband,White,Male,0,0,70,US,>50K
73,23,Private,211678,Some-college,10,Single,Blue-collar,Not-in-family,White,Male,0,0,40,US,<50K
74,79,Private,124744,Some-college,10,Married,White-collar,Other-relative,White,Male,0,0,20,US,<50K
75,27,Private,213921,High-school,9,Single,Service/Manual,Own-child,White,Male,0,0,40,Non-US,<50K
76,40,Private,32214,Some-college,12,Married,Clerical/Sales,Husband,White,Male,0,0,40,US,<50K
77,67,null,212759,High-school,6,Married,null,Husband,White,Male,0,0,2,US,<50K
78,18,Private,309634,High-school,7,Single,Service/Manual,Own-child,White,Female,0,0,22,US,<50K
79,31,Govt,125927,Middle-school,4,Married,Service/Manual,Husband,White,Male,0,0,40,US,<50K
80,18,Private,446839,High-school,9,Single,Clerical/Sales,Not-in-family,White,Male,0,0,30,US,<50K
81,52,Private,276515,College,13,Married,Service/Manual,Husband,White,Male,0,0,40,Non-US,<50K
82,46,Private,51618,High-school,9,Married,Service/Manual,Wife,White,Female,0,0,40,US,<50K
83,59,Private,159937,High-school,9,Married,Clerical/Sales,Husband,White,Male,0,0,48,US,<50K
84,44,Private,343591,High-school,9,Separated,Blue-collar,Not-in-family,White,Female,14344,0,40,US,>50K
85,53,Private,346253,High-school,9,Separated,Clerical/Sales,Own-child,White,Female,0,0,35,US,<50K
86,49,Govt,268234,High-school,9,Married,Blue-collar,Husband,White,Male,0,0,40,US,>50K
